maand,globale_index,kern_zonder_energie_levensmiddelen_alcohol_tabak,zonder_energieproducten,zonder_aardolieproducten,energiedragers,gezondheidsindex,afgevlakte_gezondheidsindex
2025-07,100.04,100.15,100.19,100.04,98.93,100.02,97.58
2025-08,100.04,100.37,100.30,100.07,97.97,100.05,97.74
2025-09,99.74,100.19,100.08,99.80,97.05,99.77,97.87
2025-10,100.10,100.75,100.56,100.17,96.44,100.14,98.00
2025-11,100.67,101.31,101.10,100.69,97.15,100.68,98.16
2025-12,100.73,101.61,101.28,100.82,96.41,100.82,98.35
2026-01,101.17,102.10,101.86,101.41,95.48,101.33,98.73
2026-02,101.72,102.58,102.17,101.91,98.32,101.84,99.14
2026-03,101.84,102.57,102.02,101.63,101.20,101.63,99.38
2026-04,103.34,102.97,102.52,102.74,112.59,102.77,99.85
2026-05,103.26,103.40,102.77,102.64,109.31,102.69,100.19
2026-06,102.95,103.21,102.53,102.53,108.27,102.59,100.37
2026-07,103.60,103.83,103.14,103.15,109.41,103.24,100.77
